"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","time","state","peopl","duti","peac","freedom","life","right","everi","govern","parti","govern","one","will","can"
"2","citizen","among","nation","shall","nation","world","great","public","institut","peopl","polit","constitut","american","america","let"
"3","first","may","must","countri","new","year","men","law","present","nation","countri","power","day","make","know"
"4","presid","foreign","free","faith","great","liberti","thing","shall","experi","spirit","state","upon","heart","live","togeth"
"5","histori","limit","effort","honor","world","hope","upon","equal","hope","countri","question","interest","earth","good","human"
"6","today","war","secur","confid","respons","human","industri","protect","caus","may","import","union","see","work","help"
"7","justic","improv","unit","trust","polici","forc","mani","interest","prosper","preserv","unit","general","god","futur","nation"
"8","stand","intern","now","servic","just","differ","thought","civil","danger","love","desir","state","hand","voic","never"
"9","share","remain","countri","execut","need","long","without","individu","yet","system","principl","common","man","bring","strength"
"10","still","mind","believ","success","home","come","part","principl","result","form","regard","whole","whether","alway","other"
"11","centuri","commerc","mean","may","let","last","look","labor","patriot","foreign","sentiment","bless","dream","speak","seek"
"12","place","land","achiev","expect","better","arm","done","justic","exist","independ","accept","relat","also","lead","strong"
"13","just","congress","resourc","call","act","mankind","purpos","reason","enjoy","happi","respect","condit","generat","open","weak"
"14","use","effect","benefit","whose","abroad","man","well","safeti","look","establish","affair","feder","anoth","challeng","power"
"15","fellow","necessari","strengthen","feel","progress","find","everi","honest","view","action","pass","legisl","forward","courag","doubt"
"16","chang","within","democrat","solemn","toward","sinc","children","measur","confid","fellowcitizen","made","principl","now","back","pledg"
"17","oath","extend","provid","much","old","action","privat","moral","sourc","period","subject","promot","ideal","way","beyond"
"18","year","encourag","econom","perform","meet","democraci","use","fair","wise","influenc","best","respect","task","ask","learn"
"19","begin","power","work","charact","war","belief","serv","maintain","event","men","occas","welfar","singl","understand","side"
"20","commit","offic","program","fellowcitizen","turn","continu","wrong","due","less","direct","elect","concern","destini","need","fear"
