"","V1"
"inaug_GeorgeWashington_1_2",10
"inaug_GeorgeWashington_1_3",10
"inaug_GeorgeWashington_1_4",10
"inaug_GeorgeWashington_1_5",10
"inaug_GeorgeWashington_1_6",10
"inaug_GeorgeWashington_1_7",10
"inaug_GeorgeWashington_1_8",10
"inaug_GeorgeWashington_1_9",4
"inaug_GeorgeWashington_1_10",4
"inaug_GeorgeWashington_1_11",4
"inaug_GeorgeWashington_1_12",10
"inaug_GeorgeWashington_1_13",10
"inaug_GeorgeWashington_1_14",12
"inaug_GeorgeWashington_1_15",10
"inaug_GeorgeWashington_1_16",10
"inaug_GeorgeWashington_1_17",13
"inaug_GeorgeWashington_1_18",13
"inaug_GeorgeWashington_1_19",13
"inaug_GeorgeWashington_1_20",13
"inaug_GeorgeWashington_1_21",13
"inaug_GeorgeWashington_1_22",13
"inaug_GeorgeWashington_1_23",13
"inaug_GeorgeWashington_1_24",13
"inaug_GeorgeWashington_1_25",13
"inaug_GeorgeWashington_1_26",10
"inaug_GeorgeWashington_1_27",10
"inaug_GeorgeWashington_1_28",10
"inaug_GeorgeWashington_1_29",10
"inaug_GeorgeWashington_1_30",10
"inaug_GeorgeWashington_2_2",10
"inaug_GeorgeWashington_2_3",10
"inaug_ThomasJefferson_1_2",10
"inaug_ThomasJefferson_1_3",10
"inaug_ThomasJefferson_1_4",13
"inaug_ThomasJefferson_1_5",15
"inaug_ThomasJefferson_1_6",13
"inaug_ThomasJefferson_1_7",11
"inaug_ThomasJefferson_1_8",8
"inaug_ThomasJefferson_1_9",8
"inaug_ThomasJefferson_1_10",5
"inaug_ThomasJefferson_1_11",13
"inaug_ThomasJefferson_1_12",13
"inaug_ThomasJefferson_1_13",13
"inaug_ThomasJefferson_1_14",13
"inaug_ThomasJefferson_1_15",13
"inaug_ThomasJefferson_1_16",13
"inaug_ThomasJefferson_1_17",13
"inaug_ThomasJefferson_1_18",13
"inaug_ThomasJefferson_1_19",2
"inaug_ThomasJefferson_1_20",2
"inaug_ThomasJefferson_1_21",5
"inaug_ThomasJefferson_1_22",5
"inaug_ThomasJefferson_1_23",14
"inaug_ThomasJefferson_1_24",4
"inaug_ThomasJefferson_1_25",2
"inaug_ThomasJefferson_1_26",13
"inaug_ThomasJefferson_1_27",13
"inaug_ThomasJefferson_1_28",2
"inaug_ThomasJefferson_1_29",2
"inaug_ThomasJefferson_1_30",3
"inaug_ThomasJefferson_1_31",10
"inaug_ThomasJefferson_1_32",13
"inaug_ThomasJefferson_1_33",13
"inaug_ThomasJefferson_1_34",13
"inaug_ThomasJefferson_1_35",7
"inaug_ThomasJefferson_1_36",10
"inaug_ThomasJefferson_1_37",10
"inaug_ThomasJefferson_1_38",8
"inaug_ThomasJefferson_1_39",8
"inaug_ThomasJefferson_1_40",8
"inaug_ThomasJefferson_1_41",11
"inaug_ThomasJefferson_1_42",11
"inaug_ThomasJefferson_1_43",11
"inaug_ThomasJefferson_1_44",11
"inaug_ThomasJefferson_1_45",12
"inaug_ThomasJefferson_1_46",13
"inaug_ThomasJefferson_1_47",13
"inaug_ThomasJefferson_1_48",13
"inaug_ThomasJefferson_1_49",13
"inaug_ThomasJefferson_1_50",13
"inaug_ThomasJefferson_1_51",13
"inaug_ThomasJefferson_1_52",13
"inaug_ThomasJefferson_1_53",13
"inaug_ThomasJefferson_1_54",13
"inaug_ThomasJefferson_1_55",10
"inaug_ThomasJefferson_1_56",10
"inaug_ThomasJefferson_1_57",10
"inaug_ThomasJefferson_1_58",10
"inaug_ThomasJefferson_1_59",10
"inaug_ThomasJefferson_1_60",10
"inaug_ThomasJefferson_1_61",10
"inaug_ThomasJefferson_1_62",10
"inaug_ThomasJefferson_1_63",10
"inaug_ThomasJefferson_2_2",10
"inaug_ThomasJefferson_2_3",6
"inaug_ThomasJefferson_2_4",6
"inaug_ThomasJefferson_2_5",6
"inaug_ThomasJefferson_2_6",6
"inaug_ThomasJefferson_2_7",6
"inaug_ThomasJefferson_2_8",10
"inaug_ThomasJefferson_2_9",12
"inaug_ThomasJefferson_2_10",12
"inaug_ThomasJefferson_2_11",12
"inaug_ThomasJefferson_2_12",12
"inaug_ThomasJefferson_2_13",12
"inaug_ThomasJefferson_2_14",12
"inaug_ThomasJefferson_2_15",12
"inaug_ThomasJefferson_2_16",12
"inaug_ThomasJefferson_2_17",12
"inaug_ThomasJefferson_2_18",11
"inaug_ThomasJefferson_2_19",1
"inaug_ThomasJefferson_2_20",11
"inaug_ThomasJefferson_2_21",8
"inaug_ThomasJefferson_2_22",11
"inaug_ThomasJefferson_2_23",11
"inaug_ThomasJefferson_2_24",11
"inaug_ThomasJefferson_2_25",8
"inaug_ThomasJefferson_2_26",8
"inaug_ThomasJefferson_2_27",1
"inaug_ThomasJefferson_2_28",1
"inaug_ThomasJefferson_2_29",5
"inaug_ThomasJefferson_2_30",13
"inaug_ThomasJefferson_2_31",5
"inaug_ThomasJefferson_2_32",5
"inaug_ThomasJefferson_2_33",1
"inaug_ThomasJefferson_2_34",3
"inaug_ThomasJefferson_2_35",13
"inaug_ThomasJefferson_2_36",3
"inaug_ThomasJefferson_2_37",13
"inaug_ThomasJefferson_2_38",10
"inaug_ThomasJefferson_2_39",13
"inaug_ThomasJefferson_2_40",13
"inaug_ThomasJefferson_2_41",13
"inaug_ThomasJefferson_2_42",13
"inaug_ThomasJefferson_2_43",13
"inaug_ThomasJefferson_2_44",13
"inaug_ThomasJefferson_2_45",13
"inaug_ThomasJefferson_2_46",13
"inaug_ThomasJefferson_2_47",13
"inaug_ThomasJefferson_2_48",11
"inaug_ThomasJefferson_2_49",4
"inaug_ThomasJefferson_2_50",10
"inaug_ThomasJefferson_2_51",11
"inaug_ThomasJefferson_2_52",13
"inaug_ThomasJefferson_2_53",13
"inaug_ThomasJefferson_2_54",13
"inaug_ThomasJefferson_2_55",13
"inaug_ThomasJefferson_2_56",13
"inaug_ThomasJefferson_2_57",13
"inaug_ThomasJefferson_2_58",13
"inaug_ThomasJefferson_2_59",13
"inaug_ThomasJefferson_2_60",13
"inaug_ThomasJefferson_2_61",13
"inaug_ThomasJefferson_2_62",13
"inaug_ThomasJefferson_2_63",13
"inaug_ThomasJefferson_2_64",13
"inaug_ThomasJefferson_2_65",10
"inaug_ThomasJefferson_2_66",10
"inaug_ThomasJefferson_2_67",10
